280     23.4    20.68
285     40.5    21.8
290     11.7    1.707
295     40.6    3.827
300     9.63    4.267
305     47.4    4.173
310     17.4    2.36
315     55.6    2.587
320     11.9    0.24
325     15.4    2.213
330     38.6    22.173
335     0.966   20.005
340     31.5    5.52
345     4.36    2.765
350     0.36    20.728
355     6.96    2.456
360     0.087   0
365     0.088   0
370     0.636   0
375     0.087   0
380     0       0     
385     0       0     
390     0       0     
395     0       0     
400     0       0     
405     0       0     
410     0       0     
415     0       0     
420     0       0     
425     0       0     
430     0       0     
435     0       0     
440     0       0     
445     0       0     
450     0       0     
455     0       0     
460     0       0     
465     0       0     
470     0       0     
475     0       0     
480     0       0     
485     0       0     
490     0       0     
495     0       0     
500     0       0     
505     0       0     
510     0       0     
515     0       0     
520     0       0     
525     0       0     
530     0       0     
535     0       0     
540     0       0     
545     0       0     
550     0       0     
555     0       0     
560     0       0     
565     0       0     
570     0       0     
575     0       0     
580     0       0     
585     0       0     
590     0       0     
595     0       0     
600     0       0     
605     0       0     
610     0       0     
615     0       0     
620     0       0     
625     0       0
630     0       0
635     0       0
640     0       0
645     0       0
650     0       0
